super category,category,sub category,brand,Priority,Expected Date
Electronics,"Computers, Laptops and Storage",Computer Accessories,Socko,1,
Fashion,Women Bags,Hand Bags,Beecool,2,
Electronics,"TVs, Audio and Video",Home Theatre Systems,HT,1,
Fashion,Women Bags,Hand Bags,Highflyer,2,
Fashion,Men's Clothing,T-shirts and Vests,MR BUTTON,2,
Electronics,Gaming and Accessories,Gaming Titles,Namco Bandai,1,
Fashion,Womens Accessories,Watches,Kookai,2,
Automotive,Car Accessories,Car Care Products,Pioneer,3,
Electronics,"TVs, Audio and Video",Portable Audio Players,Beecool,1,
Fashion,Women Clothing,Tops,NOI,2,
Fashion,Women Clothing,Skirts,Tjori,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Aigner,2,
Electronics,Gaming and Accessories,Gaming Consoles,Nintendo,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Estee Lauder,2,
Fashion,Mens Footwear,Sneakers,K Swiss,2,
Fashion,Men's Clothing,Pants and Chinos,MR BUTTON,2,
Fashion,Womens accessories,Jewellery,Charles Delon,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Medora,2,
Electronics,"TVs, Audio and Video",Speakers,Stelle,1,
Home and Kitchen,Small Appliances,Food Processors,Braun,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Targus,1,
Electronics,"TVs, Audio and Video",Speakers,Jawbone,1,
Home and Kitchen,Home Décor,Clocks,DOJANA,3,
Home and Kitchen,Home Tools,Home Improvement,TELWIN,3,
Fashion,Mens Clothing,T-shirts & Vests,Unisopent Designs,2,
Fashion,Mens Clothing,Polo Shirts,Tagd New York,2,
Fashion,Mens Clothing,Jeans,Rookies Jeans,2,
Electronics,"Computers, Laptops and Storage",Storage Devices,PhotoFast,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Escada,2,
Fashion,Women Clothing,Tops,Lumi�re Timing,2,
Fashion,Mens Accessories,Watches,OMAX,2,
Fashion,Womens accessories,Watches,Q&Q,2,
Home and Kitchen,Small Appliances,Toasters and Grills,SONASHI,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Azzaro,2,
Fashion,Women Clothing,Tops,Alia Bhatt Collection,2,
Electronics,Mobiles and Tablets,Mobile Accessories,lacie,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Microsoft,1,
Home and Kitchen,Small Appliances,Heater,Nikai,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,giorgio armani,2,
Fashion,Mens Clothing,Shirts,Another Influence,2,
Fashion,Women Clothing,Dresses,Rain & Rainbow,2,
Fashion,Women Clothing,Dresses,People,2,
Fashion,Mens Bags,Bags,Tommy Hilfiger,2,
Home and Kitchen,Kitchenware,Kitchen Tools,TESCOMA / ITALY,3,
Fashion,Girls Clothing,Infant,F.L.W,2,
Home and Kitchen,Small Appliances,Fan,Nikai,3,
Fashion,Womens Clothing,Dresses,Jeasnnia,2,
Home and Kitchen,Home Tools,Home Improvement,KORONA / GERMANY,3,
Fashion,Girls Clothing,Infant,Cute Edition,2,
Electronics,"Computers, Laptops and Storage",Printers and Scanners,Brother Printers,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Aoutec,1,
Fashion,Mens Clothing,Jeans,Phosphorus,2,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,EuroHome,3,
Electronics,Mobiles and Tablets,Mobile Accessories,FitBit,1,
Electronics,"Computers, Laptops and Storage",Routers and Modems,Linksys,1,
Home and Kitchen,Small Appliances,Electric Cookers,Elekta,3,
Fashion,Mens Accessories,Watches,Calvin Klein,2,
Home and Kitchen,Small Appliances,Vacuum Cleaners,Eurostar,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Hermes,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Mipow,1,
Electronics,Gaming and Accessories,Gaming Accessories,BLOODY,1,
Home and Kitchen,Small Appliances,Choppers and Blenders,Emjoi Power,3,
Fashion,Girls Clothing,Infant,ACILLO Kids,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Aliph,1,
Fashion,Unisex Accessories,Watches,Appetime,2,
Fashion,Womens Accessories,Jewellery,Crunchy Fashion,2,
Fashion,Women Bags,Hand Bags,Guess,2,
Fashion,Women Bags,Handbags,Michael Michael Kors,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Chopard,2,
Fashion,Women Clothing,Tops,Popnetic,2,
Fashion,Womens Clothing,Dresses,Loumeidisha,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Energizer,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,LANCOME,2,
Fashion,Girl's Footwear,Kids,LED,2,
Electronics,Gaming and Accessories,Gaming Accessories,Logitech,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Razer,1,
Electronics,Cameras and Photography,CCTV Cameras,OPLINK,1,
Electronics,"TVs, Audio and Video",Speakers,Aimbimy,1,
Home and Kitchen,Small Appliances,Coffee Makers,Braun,3,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,Xtouch,3,
Automotive,Car Accessories,Interior Accessories,Ferrari,3,
Home and Kitchen,Small Appliances,Food Processors,Elekta,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,CARON,2,
"Beauty, Personal Care and Fragrances",Fragrances,Women's Fragrances,Gucci,2,
Electronics,Cameras and Photography,Camera Accessories,RivaCase,1,
Electronics,Mobiles and Tablets,Tablets,Mobii,1,
Home and Kitchen,Home Furnishing,Bed Linen,Wysada,3,
Fashion,Women Clothing,Tops,Rain & Rainbow,2,
Fashion,Women's Accessories,Watches,DKNY,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Beecool,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Guess,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,S.T. DUPONT,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Crumpler,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Carolina Herrera,2,
Fashion,Womens Clothing,Dresses,C.Y.F,2,
Fashion,Mens Footwear,Slip ons,Funk,2,
Electronics,"Computers, Laptops and Storage",Storage Devices,Samsung,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Bourjois,2,
Fashion,Womens Accessories,Jewellery,Guess,2,
Fashion,Women Clothing,Dresses,Mysterious Miss,2,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,Beecool,3,
Electronics,Mobiles and Tablets,Mobile Accessories,ILUV,1,
Home and Kitchen,Home Tools,Home Improvement,SKIL,3,
Home and Kitchen,Small Appliances,Water Dispenser,SONASHI,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Runtastic,1,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Elekta,3,
Electronics,"Computers, Laptops and Storage",Storage devices,Pen Quran,1,
Fashion,Mens Footwear,Lace ups,Sanuk,2,
Fashion,Womens Accessories,Jewellery,ZeroKaata,2,
Fashion,Men's Accessories,Watches,Fossil,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Beecool,2,
Electronics,Cameras and Photography,Digital Cameras,Removu,1,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,Crony,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,YSL,2,
Electronics,Gaming and Accessories,Gaming Titles,Xbox 360,1,
Fashion,Womens Accessories,Sunglasses,Valentino,2,
Fashion,Girls Clothing,Infant,B.B.,2,
Fashion,Unisex Accessories,Sunglasses,Wildwood,2,
Electronics,"TVs, Audio and Video",Speakers,Harman Kardon,1,
Home and Kitchen,Small Appliances,Fan,Elekta,3,
Fashion,Girls Clothing,Infant,Swallow Speak,2,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Elekta,3,
Fashion,Mens Clothing,Polo Shirts,Locomotive,2,
Electronics,"TVs, Audio and Video",Home Audio Components,ION Audio,1,
Fashion,Women Footwear,Sandals,Truffle,2,
Home and Kitchen,Small Appliances,Vacuum Cleaners,Knewood,3,
Home and Kitchen,Home Tools,Home Improvement,CLABER,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Aiino,1,
Electronics,Gaming and Accessories,Gaming Titles,Square Enix,1,
Fashion,Mens Footwear,Slip ons,Piaffe,2,
Fashion,Men's accessories,Jewellery,Lucleon,2,
Electronics,Mobiles and Tablets,Tablet Accessories,Microsoft,1,
Fashion,Mens Clothing,Shorts,Incult,2,
Fashion,Women Clothing,Arabian Clothing,Shehna,2,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Knewood,3,
Fashion,Boy's Clothing,Kids,Basicxx,2,
Fashion,Girls Clothing,Infant,Nana Baby,2,
Fashion,Women Bags,Sports Bags,Spiral,2,
"Health, Nutrition and Sports",Health,Health Devices,Withings,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Gosh,1,
Fashion,Womens Accessories,Watches,Beecool,2,
Home and Kitchen,Small Appliances,Electric Cookers,Sonashi,3,
Fashion,Women Clothing,Tops,Sangria,2,
Fashion,Women Clothing,Jumpsuits & Playsuits,Miss Bennett London,2,
Fashion,Womens Clothing,T-shirts and Vests,THREADCURRY,2,
Home and Kitchen,Small Appliances,Coffee Makers,KORONA / GERMANY,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Jawbone,1,
Automotive,Car Audio and GPS,Car Stereos,Kenwood,3,
Fashion,Mens Accessories,Sunglasses,Polo Ralph Lauren,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Unplug,1,
Fashion,Mens Clothing,T-shirts and Vests,IRON FIST ATHLETIC,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Astrum,1,
Electronics,"Computers, Laptops and Storage",Routers and Modems,Apple,1,
Home and Kitchen,Small Appliances,Electric Cookers,Nikai,3,
Home and Kitchen,Small Appliances,Toasters and Grills,Elekta,3,
"Beauty, Personal Care and Fragrances",Fragrances,Men's Fragrances,Ferrari,2,
Fashion,Mens Footwear,Flip flops,Santa Monica Polo Club,2,
Fashion,Mens Bag,Small Leather Goods,Tommy Hilfiger,2,
Fashion,Women Clothing,Tops,La Firangi,2,
Home and Kitchen,Home Furnishing,Bed Linen,HT,3,
Fashion,Women's Clothing,Dresses,Yufta,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Beyzacases,1,
Home and Kitchen,Small Appliances,Iron,Runsteam,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Ctroniq,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Zeiss,1,
Fashion,Womens Clothing,Dresses,Tjori,2,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Sonashi,3,
Electronics,Gaming and Accessories,Gaming Titles,Naughty Dog,1,
Fashion,Mens Clothing,Hoodies & Sweatshirts,Brave Soul,2,
Home and Kitchen,Home Décor,Lamps and Lightings,Microlab,3,
Home and Kitchen,Home Furnishing,"Pillow, Cushion and Covers",Wysada,3,
Fashion,Mens Clothing,Shirts,Brave Soul,2,
Fashion,Women's Accessories,Jewellery,Peora,2,
Home and Kitchen,Small Appliances,Food Processors,Black and Decker,3,
Fashion,Women Clothing,Tops,Upperclass,2,
Electronics,"TVs, Audio and Video",Home Theatre Systems,LG,1,
Fashion,Women Clothing,Arabian Clothing,Aava,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Modecom,1,
Electronics,Gaming and Accessories,Gaming Titles,Capcom,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Tylt,1,
Fashion,Mens Clothing,Pants & Chinos,Basics,2,
Fashion,Women Bags,Hand Bags,Kole,2,
Fashion,Womens Accessories,Sunglasses,Guess,2,
Electronics,Mobiles and Tablets,Mobile Phones,G-Tide,1,
Fashion,Unisex Accessories,Sunglasses,MEC,2,
Electronics,Cameras and Photography,CCTV Cameras,D-link,1,
Electronics,Cameras and Photography,Camera Accessories,Joby,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Ipearl,1,
Home and Kitchen,Small Appliances,Vacuum Cleaners,Panasonic,3,
Electronics,Mobiles and Tablets,Tablets,Fun Tab,1,
Fashion,Mens Clothing,Shirts,Mr Button,2,
Fashion,Womens Accessories,Jewellery,Bhane,2,
Fashion,Mens Accessories,watches,LORUS,2,
Fashion,Womens Accessories,Watches,Skagen,2,
Fashion,Women Clothing,Tops,Tjori,2,
Fashion,Womens Accessories,Jewellery,Marcia Moran,2,
Fashion,Womens Accessories,Watches,Kolbar,2,
Fashion,Mens Accessories,Jewellery,Paradiso,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,Black and Decker,3,
Fashion,Women Bags,Sports Bags,Jansport,2,
Fashion,Women Bags,Hand Bags,Envoy,2,
Fashion,Women Clothing,Tops,Shree,2,
Home and Kitchen,Kitchenware,Cookware and Bakeware,FAGOR / SPAIN,3,
Fashion,Mens Clothing,Polo Shirts,Highlander,2,
Electronics,Mobiles and Tablets,Mobile Phones,HTC,1,
Fashion,Mens Clothing,Polo Shirts,Bhane,2,
Fashion,Mens Clothing,Polo Shirts,UV&W,2,
Electronics,Gaming and Accessories,Gaming Titles,Sony,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Yves Saint Laurent,2,
Fashion,Womens accessories,Sunglasses,Jeepers Peepers,2,
Fashion,Women Bags,Small Leather Goods,Calvin Klein,2,
Fashion,Mens Clothing,Shirts,Berry Shirt,2,
Electronics,Small Appliances,Personal appliances,Sonashi,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Ferrari,1,
Fashion,Women Clothing,Jackets & Coats,Miss Bennett London,2,
Electronics,Cameras and Photography,Camera Accessories,Fujifilm,1,
Home and Kitchen,Small Appliances,Garment Steamer,Eurostar,3,
Fashion,Mens Clothing,Polo Shirts,Kal Jacobs,2,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,BRAUN,2,
Electronics,"TVs, Audio and Video",Portable Audio Players,Trevi,1,
Fashion,Mens Clothing,Polo Shirts,Elaborado,2,
Fashion,Women Bags,Hand Bags,Michel angelo,2,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,Panasonic,2,
Electronics,"TVs, Audio and Video",Speakers,Logitech,1,
Fashion,Unisex Accessories,Sunglasses,Fashion TV Eyewear,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Nokia,1,
Home and Kitchen,Home Décor,Clocks,Casio,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Boostcase,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Ozone,1,
Fashion,Womens Accessories,Sunglasses,UV,2,
Home and Kitchen,Small Appliances,Induction Cook Tops,Elekta,3,
Home and Kitchen,Small Appliances,Others,Ariete,3,
Fashion,Mens Bag,Mens Bag,Seventy Five,2,
Fashion,Womens Accessories,Watches,Armani Exchange,2,
Fashion,Mens Clothing,T-shirts & Vests,Punk,2,
Fashion,Women Clothing,Jeans,Miss Bennett London,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,MARBERT,2,
Fashion,Women Footwear,Flat Shoes,Qupid,2,
Fashion,Mens Clothing,T-shirts & Vests,Ruggers Young,2,
Automotive,Car Care,,OMP,3,
Fashion,Boys Clothing,Youth,DXBeach,2,
Fashion,Mens Accessories,Sunglasses,Carrera,2,
Fashion,Women Clothing,Tops,Riot Jeans,2,
Fashion,Mens Clothing,T-shirts and Vests,Beecool,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Dragon,2,
Electronics,Mobiles and Tablets,Mobile Accessories,SONY ERICSSON,1,
Fashion,Womens Accessories,Watches,JBW,2,
Fashion,Unisex Accessories,Watches,Al Fajar,2,
Home and Kitchen,Home Décor,Lamps and Lightings,Libra,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Just Mobile,1,
Home and Kitchen,Small Appliances,Ovens and OTGs,Knewood,3,
Home and Kitchen,Small Appliances,Others,SONASHI,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Yison,1,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Braun,3,
Electronics,"TVs, Audio and Video",Televisions,Polaroid,1,
Fashion,Womens Accessories,Watches,ELLETIER,2,
Fashion,Mens Clothing,Shorts,Santa Monica Polo Club,2,
Electronics,Mobiles and Tablets,Mobile Accessories,WOPOW,1,
Fashion,Womens Clothing,T-shirts and Vests,Dubai Heroes,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,KOSS,1,
Fashion,Womens accessories,Watches,Tommy Hilfiger,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Microlab,1,
Electronics,"Computers, Laptops and Storage",Electronic Accessories,Beecool,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Romoss,1,
Fashion,Women Clothing,Shorts,Upperclass,2,
Electronics,Gaming and Accessories,Gaming Accessories,PS4,1,
Fashion,Mens Accessories,Headwear,GW SPORT,2,
Fashion,Mens Clothing,T-shirts & Vests,Santa Monica Polo Club,2,
Home and Kitchen,Small Appliances,Iron,Elekta,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,narciso rodriguez,2,
Electronics,Mobiles and Tablets,Mobile Accessories,DEXIM,1,
Fashion,Womens Accessories,Watches,Louis Arden,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Dicota,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Merlin,1,
Fashion,Womens Clothing,Jumpsuits and Playsuits,Stoee,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Sandberg,1,
Fashion,Womens Accessories,Watches,EQUSS,2,
Fashion,Women Clothing,Tops,Shibori Designs,2,
Fashion,Mens Clothing,T-shirts & Vests,Imagica,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Nikos Sculpture,2,
Home and Kitchen,Home Furnishing,Bath Linen,Knights bridge,3,
Home and Kitchen,Home Décor,Showpieces,Guillermo Forchino,3,
Home and Kitchen,Small Appliances,Iron,Nikai,3,
Electronics,Mobiles and Tablets,Mobile Phones,MICROMAX,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Riva,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Motorola,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,A4TECH,1,
Fashion,Womens Accessories,Jewellery,Fine Crystal,2,
Home and Kitchen,Home Furnishing,"Pillow, Cushion and Covers",Beecool,3,
Home and Kitchen,Home Décor,Clocks,Sonashi,3,
Home and Kitchen,Small Appliances,Vacuum Cleaners,SONASHI,3,
Fashion,Unisex Accessories,Sunglasses,Oakley,2,
Electronics,"TVs, Audio and Video",Portable Audio Players,JBL,1,
Fashion,Women Clothing,Tops,Rapz,2,
Fashion,Mens Clothing,Polo Shirts,Incult,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Jathibia World,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Razer,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Tom Ford,2,
Home and Kitchen,Small Appliances,Microwaves,Emjoi Power,3,
Fashion,Men's Clothing,T-shirts and Vests,Basicxx,2,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Black and Decker,3,
Fashion,Mens Clothing,Pants & Chinos,Tokyo Laundry,2,
Home and Kitchen,Kitchenware,Tiffin and Flasks,Sonashi,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Cartier,2,
Electronics,Gaming and Accessories,Gaming Titles,XBOX,1,
Fashion,Women Clothing,Shorts,Rattrap,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,happy plugs,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Mophie,1,
Fashion,Girls Clothing,Infant,N.Y.F,2,
Fashion,Womens Accessories,Watches,FENCCI,2,
Electronics,Cameras and Photography,Camera Accessories,Merlin,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,JOOP,2,
Electronics,"TVs, Audio and Video",Speakers,IDEA,1,
Electronics,Mobiles and Tablets,Mobile Phones,Fly,1,
Fashion,Mens Clothing,T-shirts & Vests,Native Youth,2,
"Beauty, Personal Care and Fragrances",Fragrances,Women's Fragrances,Kim Kadarshian,2,
Home and Kitchen,Home Tools,Home Improvement,Home King,3,
Automotive,Car Accessories,Interior Accessories,Leostar,3,
Electronics,Gaming and Accessories,Gaming Titles,Konami,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Mega,2,
Fashion,Girls Clothing,Infant,Dance Baby,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Totu Design,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,IDEA,1,
Electronics,Mobiles and Tablets,Cases and Protectors,Stylizedd,1,
Home and Kitchen,Small Appliances,Coffee Makers,Emjoi Power,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,BRINCH,1,
Electronics,Cameras and Photography,Camera Accessories,Selfie,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Naztech,1,
Electronics,Cameras and Photography,Camera Accessories,Beecool,1,
Fashion,Mens Clothing,T-shirts & Vests,Shine,2,
"Beauty, Personal Care and Fragrances",Fragrances,Unisex Fragrances,Hermes,2,
Fashion,Women Clothing,Skirts,Shibori Designs,2,
Electronics,"Computers, Laptops and Storage",Routers and Modems,Xiaomi,1,
Fashion,Mens Clothing,Polo Shirts,Steenbok,2,
Fashion,Mens Clothing,T-shirts & Vests,Gritstones,2,
"Toys, Kids and Baby",Baby and Toddlers,Diaper and Diaper Bags,Pampers,3,
Fashion,Women Clothing,Dresses,Miss Bennett London,2,
Fashion,Mens Clothing,Pants & Chinos,Incult,2,
Fashion,Mens Clothing,T-shirts & Vests,Brave Soul,2,
Fashion,Mens Bags,Sports Bags,Adidas,2,
Electronics,Cameras and Photography,Digital Cameras,AIPTEK,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin care,Klapp,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Kensington,1,
Electronics,Gaming and Accessories,Gaming Titles,Xbox One,1,
Electronics,Gaming and Accessories,Gaming Titles,Bethesda Softworks,1,
Fashion,Women Clothing,Jackets & Coats,Lara Karen,2,
Fashion,Mens Clothing,Pants & Chinos,Hubberholme,2,
Fashion,Women Clothing,Dresses,I AM FOR YOU,2,
Fashion,Women Footwear,Sneakers,Seventy Five,2,
Home and Kitchen,Home Décor,Collectibles,Dubai Heroes,3,
Fashion,Womens Clothing,Dresses,Rattrap,2,
Fashion,Womens Accessories,Sunglasses,Roberto Cavalli,2,
Electronics,Mobiles and Tablets,Tablets,GENX,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Bath and Body,Victoria Secret,2,
Fashion,Women Clothing,T-shirts & Vests,Silverswan,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Misfit,1,
Home and Kitchen,Small Appliances,Ovens and OTGs,Elekta,3,
Home and Kitchen,Home D�cor,Collectibles,Wysada,3,
Home and Kitchen,Small Appliances,Microwaves,Nikai,3,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,MLP,3,
Home and Kitchen,Home Tools,Home Improvement,Stanley,3,
Electronics,Large Appliances,Washing Machines,Eurostar,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Jose Eber,2,
Fashion,Women Clothing,Tops,I AM FOR YOU,2,
Home and Kitchen,Home Furnishing,Blankets and Quilts,LAVATELLI,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,PORT Designs,1,
Electronics,Cameras and Photography,Digital Cameras,Qrios,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,JENNIFER LOPEZ,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Targus,1,
Fashion,Mens Accessories,Watches,Louis Arden,2,
Electronics,Mobiles and Tablets,Tablet Accessories,IP Pro,1,
Fashion,Women Clothing,Pants & Leggings,Shibori Designs,2,
Fashion,Women Clothing,Dresses,Q&Q,2,
Home and Kitchen,Small Appliances,Vacuum Cleaners,Hoover,3,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Panasonic,3,
Fashion,Men's Accessories,Jewellery,Peora,2,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,SONASHI,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,CARRERA,2,
Automotive,Car Accessories,Interior Accessories,Unplug,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Cheero,1,
Electronics,Gaming and Accessories,Gaming Titles,EA Sports,1,
Home and Kitchen,Small Appliances,Toasters and Grills,Emjoi Power,3,
Home and Kitchen,Kitchenware,Dining and Serving,Wysada,3,
Fashion,Women Footwear,Boots,Truffle,2,
Home and Kitchen,Small Appliances,Ovens and OTGs,Proline,3,
Fashion,Mens Clothing,Pants and Chinos,ZESS,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Xiaomi,1,
Electronics,Cameras and Photography,Digital Cameras,Microsoft,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,eDatalife,1,
Electronics,Mobiles and Tablets,Tablet Accessories,Belkin,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Enerplex,1,
Fashion,Women Footwear,Pumps,Truffle,2,
Fashion,Boys Clothing,Kids,Dubai Heroes,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Logitech,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Real techniques,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Maybelline,2,
Fashion,Mens Bag,Sports Bag,Jansport,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Jimmy Choo,2,
Fashion,Mens Accessories,Watches,MODUS,2,
Fashion,Women Clothing,Lingerie & Nightwear,Outdoor,2,
Electronics,"Computers, Laptops and Storage",computer Accessories,Booq,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,BLAUPUNKT,1,
