super category,category,sub category,brand,Priority,Expected Date
Electronics,Gaming and Accessories,Gaming Accessories,Astrum,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Huntkey,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Woodford,1,
Fashion,Mens Clothing,T-shirts & Vests,Locomotive,2,
Home and Kitchen,Home Tools,Home Improvement,Belkin,3,
Fashion,Mens Clothing,Jeans,Shine,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Diesel,2,
Fashion,Mens Clothing,Jeans,AV Bros,2,
Electronics,Mobiles and Tablets,Mobile Accessories,X-Doria,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Fuse,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Powerocks,1,
Fashion,Women Clothing,Skirts,Jeifei Dress,2,
Electronics,"TVs, Audio and Video",Portable Audio Players,Ihome,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Academie,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Kole,2,
Fashion,Mens Clothing,Jeans,NU ECO,2,
"Beauty, Personal Care and Fragrances",Fragrances,Women's Fragrances,Franco Maxim,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Renon,1,
Electronics,Gaming and Accessories,Gaming Titles,THQ Games,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Sandberg,1,
Electronics,"TVs, Audio and Video",Speakers,NoBrand,1,
Fashion,Mens Clothing,Polo Shirts,Brave Soul,2,
Fashion,Mens Clothing,Shorts,Basics,2,
Electronics,"Computers, Laptops and Storage",Storage Devices,lacie,1,
Electronics,"TVs, Audio and Video",Speakers,Unplug,1,
Electronics,"TVs, Audio and Video",TV and AV Accessories,IDEA,1,
"Beauty, Personal Care and Fragrances",Fragrances,Unisex Fragrances,Jathibia World,2,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,Vikkishop,3,
"Beauty, Personal Care and Fragrances",Personal Appliances,Hair Dryers,Beecool,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Mercedes-Benz,2,
Fashion,Mens Clothing,Shorts,Hubberholme,2,
Fashion,Women Clothing,Tops,G,2,
Fashion,Women Clothing,Jackets & Coats,NOI,2,
Fashion,Mens Clothing,T-shirts & Vests,Cult Fiction,2,
Automotive,Car Accessories,Interior Accessories,Belkin,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Targus,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Nature of Morocco,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,Ariete,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Momax,1,
Fashion,Mens Clothing,Polo Shirts,Slub,2,
Electronics,Small Appliances,Personal appliances,Sinbo,1,
Electronics,Mobiles and Tablets,Tablet Accessories,Xcell,1,
Fashion,Mens Clothing,T-shirts & Vests,Cross Hatch,2,
"Beauty, Personal Care and Fragrances",Fragrances,Men's Fragrances,Rasasi,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Datalife,1,
Home and Kitchen,Home Décor,Lamps and Lightings,Basicxx,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,ELEANOR,2,
Home and Kitchen,Small Appliances,Coffee Makers,Nikai,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Ferrari,1,
Fashion,Mens Clothing,Hoodies & Sweatshirts,!Solid,2,
Electronics,Gaming and Accessories,Gaming Accessories,Playstation,1,
Fashion,Mens Clothing,T-shirts & Vests,Highlander,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Alessandro,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,DELIA,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,IBM,1,
"Beauty, Personal Care and Fragrances",Fragrances,Men's Fragrances,Baugs Sons,2,
Home and Kitchen,Home Furnishing,Bed Linen,Warda,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Tommy Hilfiger,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Salvatore Ferragamo,2,
Electronics,Gaming and Accessories,Gaming Titles,505 Games,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Clictronic,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Jean Paul,2,
Home and Kitchen,Household Supplies,Ironing Accessories,Sonashi,3,
Fashion,Mens Clothing,Polo Shirts,Alcis,2,
Fashion,Womens Clothing,Dresses,ILianYiYi,2,
Home and Kitchen,Small Appliances,Lights and Torches,Tecxus,3,
Fashion,Men's accessories,Belts,Seventy Five,2,
Fashion,Girls Clothing,Infant,W.C,2,
Fashion,Women Clothing,Dresses,Daphnea,2,
Electronics,"TVs, Audio and Video",Speakers,Divoom,1,
Electronics,"Computers, Laptops and Storage",Storage Devices,San Disk,1,
Home and Kitchen,Home Furnishing,Curtains and Accessories,Basicxx,3,
Electronics,"Computers, Laptops and Storage",Laptops,Beecool,1,
Electronics,Mobiles and Tablets,Mobile Accessories,iBox,1,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,Thomas,3,
Fashion,Mens Clothing,Shirts,NU ECO,2,
Fashion,Women Bags,Hand Bags,Juicy Counture,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Mercedes,1,
Home and Kitchen,Kitchenware,Tiffin and Flasks,Nikai,3,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Yison,1,
Fashion,Women Clothing,Jackets & Coats,Ten On Ten,2,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,Batman,3,
Electronics,Mobiles and Tablets,Mobile Accessories,OXO,1,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,Avengers,3,
Fashion,Mens Clothing,T-shirts & Vests,Sdl By Sweet Dreams,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Lanvin,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Ciate,2,
Fashion,Womens Accessories,Watches,Diamond Dior,2,
Fashion,Women Clothing,Tops,Miss Bennett,2,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,Simba,3,
Home and Kitchen,Home Tools,Home Improvement,Wysada,3,
Home and Kitchen,Home Tools,Home Improvement,Kole,3,
Home and Kitchen,Kitchenware,Dining and Serving,Beecool,3,
Fashion,Women Clothing,Tops,Faballey,2,
Fashion,Mens Clothing,Shorts,Phosphorus,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,JVC,1,
Home and Kitchen,Small Appliances,Home Appliances,Sonashi,3,
Fashion,Women Clothing,Dresses,Rapz,2,
Home and Kitchen,Home Décor,Clocks,Nanda Homes,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Chloe,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Rimmel,2,
Home and Kitchen,Home Furnishing,Bath Linen,Home Evolution,3,
Fashion,Unisex accessories,Watches,IO?ION!,2,
Fashion,Mens Clothing,T-shirts & Vests,Freecultr Express,2,
Electronics,Small Appliances,Personal appliances,HITACHI,1,
Automotive,Car Accessories,Interior Accessories,Cygnett,3,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Eurostar,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Ezquest,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,NAF NAF,2,
Fashion,Women Clothing,Skirts,Riot Jeans,2,
Automotive,Car Accessories,Interior Accessories,SlingGrip,3,
Fashion,Mens Clothing,Shorts,ZESS,2,
Automotive,Car Accessories,Interior Accessories,ILUV,3,
Home and Kitchen,Home Tools,Home Improvement,Inhouse,3,
